P(mbar),T(K)
1000,298
930.5720409,295
865.9643234,292
805.8421878,289
749.8942093,286
697.8305849,283
649.3816316,280
604.2963902,277
562.3413252,274
523.2991147,271
486.9675252,268
453.1583638,265
421.6965034,262
392.4189758,259
365.1741273,256
339.8208329,253
316.227766,250
294.2727176,247
273.8419634,244
254.8296748,241
237.1373706,238
220.6734069,235
205.3525026,232
191.0952975,229
177.827941,226
165.48171,223
153.9926526,220
143.301257,217
133.3521432,214
124.0937761,211
115.4781985,208
107.4607828,205
100,202
93.05720409,199
86.59643234,196
80.58421878,193
74.98942093,190
69.78305849,187
