# P(mbar),T(K)
1.545216864848929506e-01,8.000000000000000000e+01
8.980503122682935713e-01,9.877551020408162685e+01
3.942156331782800560e+00,1.175510204081632679e+02
1.360369679616188243e+01,1.363265306122449090e+02
3.844499073050011617e+01,1.551020408163265358e+02
9.225591007043428249e+01,1.738775510204081627e+02
1.937355194670087712e+02,1.926530612244898180e+02
3.648396496027291960e+02,2.114285714285714448e+02
6.283309608199003833e+02,2.302040816326530717e+02
1.005257670871451182e+03,2.489795918367346985e+02
1.512932355172043572e+03,2.677551020408163254e+02
2.163686932762851029e+03,2.865306122448979522e+02
2.964415600972513403e+03,3.053061224489796359e+02
3.916756706080767799e+03,3.240816326530612059e+02
5.017705144760292569e+03,3.428571428571428896e+02
6.260455522957759058e+03,3.616326530612245165e+02
7.635317956486116600e+03,3.804081632653061433e+02
9.130598291702062852e+03,3.991836734693877702e+02
1.073337917129631023e+04,4.179591836734693970e+02
1.243017255933879824e+04,4.367346938775510239e+02
1.420743764390282013e+04,4.555102040816326507e+02
1.605197220356232719e+04,4.742857142857143344e+02
1.795119291818760030e+04,4.930612244897959613e+02
1.989332292679418970e+04,5.118367346938775881e+02
2.186750493699910294e+04,5.306122448979592718e+02
2.386385663404695515e+04,5.493877551020408418e+02
2.587348286505300348e+04,5.681632653061224119e+02
2.788845660936227432e+04,5.869387755102040956e+02
2.990177838725772017e+04,6.057142857142857792e+02
3.190732165660772444e+04,6.244897959183673493e+02
3.389976995783086022e+04,6.432653061224490330e+02
3.587455009533649718e+04,6.620408163265306030e+02
3.782776446342557756e+04,6.808163265306122867e+02
3.975612469886762119e+04,6.995918367346939704e+02
4.165688812999307993e+04,7.183673469387755404e+02
4.352779795386917976e+04,7.371428571428572241e+02
4.536702767389274231e+04,7.559183673469387941e+02
4.717313003997896158e+04,7.746938775510204778e+02
4.894499052763496729e+04,7.934693877551020478e+02
5.068178525050762983e+04,8.122448979591837315e+02
5.238294310750579461e+04,8.310204081632653015e+02
5.404811190781220648e+04,8.497959183673469852e+02
5.567712818532754318e+04,8.685714285714286689e+02
5.726999040092113864e+04,8.873469387755102389e+02
5.882683523069880903e+04,9.061224489795919226e+02
6.034791664712358033e+04,9.248979591836734926e+02
6.183358751414959261e+04,9.436734693877551763e+02
6.328428343527050311e+04,9.624489795918367463e+02
6.470050861291209731e+04,9.812244897959184300e+02
6.608282349775599141e+04,1.000000000000000000e+03
