# P(mbar),T(K)
1.085004831671648046e-01,1.000000000000000000e+03
1.910736701907533308e-01,1.030612244897959272e+03
3.254948070433302254e-01,1.061224489795918316e+03
5.376759621242321874e-01,1.091836734693877588e+03
8.631755600079697999e-01,1.122448979591836633e+03
1.349479007203158165e+00,1.153061224489795904e+03
2.058418971617641979e+00,1.183673469387755176e+03
3.068646219090075622e+00,1.214285714285714221e+03
4.478049513168373075e+00,1.244897959183673493e+03
6.406017308258379117e+00,1.275510204081632764e+03
8.995435214631781307e+00,1.306122448979591809e+03
1.241432119584476546e+01,1.336734693877551081e+03
1.685701429811054908e+01,1.367346938775510125e+03
2.254485110567827277e+01,1.397959183673469397e+03
2.972628552331720542e+01,1.428571428571428442e+03
3.867643029948710875e+01,1.459183673469387713e+03
4.969602140213820718e+01,1.489795918367346985e+03
6.310982762564555060e+01,1.520408163265306030e+03
7.926454659908182521e+01,1.551020408163265301e+03
9.852624394773481242e+01,1.581632653061224573e+03
1.212774043039359384e+02,1.612244897959183618e+03
1.479136710241637047e+02,1.642857142857142890e+03
1.788403559403959946e+02,1.673469387755102161e+03
2.144688015356571782e+02,1.704081632653061206e+03
2.552126760009397231e+02,1.734693877551020250e+03
3.014842771996241595e+02,1.765306122448979522e+03
3.536909151695978721e+02,1.795918367346938794e+03
4.122314349654003536e+02,1.826530612244897839e+03
4.774929328868425387e+02,1.857142857142857110e+03
5.498477099112135420e+02,1.887755102040816382e+03
6.296504968360085286e+02,1.918367346938775427e+03
7.172359765727925378e+02,1.948979591836734699e+03
8.129166204656390846e+02,1.979591836734693970e+03
9.169808476293835611e+02,2.010204081632653015e+03
1.029691509242489246e+03,2.040816326530612287e+03
1.151284693562675102e+03,2.071428571428571558e+03
1.281968842191603699e+03,2.102040816326530603e+03
1.421924163792209356e+03,2.132653061224489647e+03
1.571302328024200506e+03,2.163265306122449147e+03
1.730226419854516280e+03,2.193877551020408191e+03
1.898791132549556323e+03,2.224489795918367236e+03
2.077063176485414715e+03,2.255102040816326735e+03
2.265081880337165785e+03,2.285714285714285779e+03
2.462859961143999044e+03,2.316326530612244824e+03
2.670384440110502510e+03,2.346938775510204323e+03
2.887617681718348649e+03,2.377551020408162913e+03
3.114498534713431127e+03,2.408163265306122412e+03
3.350943554736267288e+03,2.438775510204081911e+03
3.596848289718980141e+03,2.469387755102040501e+03
3.852088610629375125e+03,2.500000000000000000e+03
