# P(mbar),T(K)
0.100,165.017
0.139,164.996
0.194,165.001
0.270,165.000
0.376,165.000
0.523,164.999
0.728,165.004
1.014,164.987
1.411,165.047
1.965,164.087
2.735,163.103
3.808,160.869
5.302,157.348
7.381,153.132
10.276,150.049
14.306,147.068
19.917,143.259
27.729,139.292
38.604,134.672
53.745,128.499
74.823,120.440
104.169,112.575
145.025,108.888
201.903,112.217
281.090,121.775
391.334,131.025
544.815,140.011
758.492,151.444
1055.973,169.204
1470.127,187.477
2046.712,208.295
2849.434,231.303
3966.985,256.201
5522.839,283.367
7688.902,312.537
10704.495,345.094
14902.808,380.955
20747.701,420.343
28884.967,463.820
40213.676,511.757
55985.513,564.653
77943.078,623.001
108512.419,687.332
151071.081,758.361
210321.285,836.761
292809.470,923.289
407649.591,1019.043
567530.103,1123.878
790115.886,1240.211
1100000.000,1369.000
