# P(mbar),T(K)
0.050,126.500
0.065,126.500
0.085,126.500
0.110,126.501
0.143,126.507
0.186,126.504
0.242,126.485
0.315,126.513
0.410,126.480
0.534,126.683
0.694,124.601
0.903,122.468
1.175,120.913
1.528,121.326
1.988,120.559
2.586,115.530
3.364,104.418
4.376,93.678
5.693,80.063
7.405,70.426
9.634,64.628
12.532,58.902
16.303,56.885
21.209,55.645
27.590,53.738
35.892,52.619
46.692,51.510
60.741,50.986
79.017,50.523
102.793,49.981
133.722,50.868
173.958,52.255
226.301,52.300
294.393,54.085
382.974,59.080
498.207,63.742
648.113,68.583
843.125,73.615
1096.815,78.821
1426.837,84.178
1856.161,89.665
2414.664,95.253
3141.216,100.914
4086.382,106.617
5315.941,112.332
6915.463,118.027
8996.268,123.670
11703.171,129.231
15224.557,134.684
19805.500,140.000
