# P(mbar),T(K)
0.100,150.983
0.126,151.241
0.160,151.400
0.202,151.482
0.256,151.519
0.324,151.468
0.409,151.301
0.518,151.055
0.655,150.591
0.829,149.914
1.048,149.157
1.326,148.377
1.677,147.389
2.121,146.035
2.683,144.334
3.393,142.274
4.292,138.899
5.429,135.224
6.866,132.458
8.685,124.297
10.985,111.039
13.895,99.531
17.575,95.453
22.230,92.272
28.118,89.094
35.565,87.081
44.984,86.056
56.899,85.319
71.969,85.065
91.030,85.492
115.140,86.439
145.635,88.139
184.207,90.366
232.995,93.180
294.705,96.974
372.759,100.751
471.487,105.762
596.362,114.019
754.312,123.937
954.095,134.438
1206.793,145.271
1526.418,156.627
1930.698,168.672
2442.053,181.480
3088.844,195.031
3906.940,209.208
4941.713,224.141
6250.552,241.173
7906.043,262.697
10000.000,289.922
