# P(mbar),T(K)
0.100,174.000
0.122,174.359
0.148,174.638
0.180,174.741
0.219,174.751
0.267,174.731
0.325,174.668
0.395,174.515
0.481,174.249
0.585,174.034
0.712,173.655
0.866,173.112
1.054,172.550
1.282,171.867
1.560,170.717
1.898,169.372
2.310,167.541
2.811,164.905
3.420,162.269
4.162,159.327
5.064,155.779
6.162,152.552
7.499,148.227
9.124,144.117
11.103,137.800
13.510,132.486
16.439,125.032
20.004,112.862
24.341,100.924
29.619,89.859
36.040,79.931
43.855,75.862
53.363,73.818
64.934,72.771
79.013,72.029
96.144,71.653
116.990,71.463
142.356,71.395
173.221,71.493
210.779,71.802
256.480,72.300
312.090,73.095
379.758,74.328
462.097,76.158
562.289,78.267
684.204,80.668
832.554,83.489
1013.068,86.767
1232.721,90.439
1500.000,94.000
