# P(mbar),T(K)
0.566,146.461
0.729,148.658
0.938,150.884
1.207,153.148
1.553,155.442
1.999,157.770
2.572,160.135
3.310,162.534
4.260,164.960
5.483,167.367
7.055,169.696
9.080,171.928
11.685,174.065
15.037,176.098
19.352,178.062
24.904,179.993
32.049,181.994
41.244,184.212
53.078,186.861
68.306,190.142
87.904,194.239
113.124,199.287
145.581,205.415
187.350,212.807
241.102,221.605
310.276,231.939
399.298,243.816
513.860,257.079
661.292,271.475
851.023,286.699
1095.189,302.354
1409.410,317.763
1813.783,332.395
2334.175,346.496
3003.873,360.918
3865.713,376.499
4974.824,393.754
6402.149,413.021
8238.988,434.649
10602.834,458.688
13644.890,484.736
17559.742,512.414
22597.803,541.392
29081.332,570.940
37425.049,601.134
48162.661,633.878
61980.997,669.734
79763.948,707.986
102649.002,748.040
132100.000,788.137
